ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
810,Zotu19557,1,0,0,6.49E-31,0,3,-1.213559752,0
811,Zotu2084,2,0,0,7.84E-11,1,38,-0.697485832,0
812,Zotu2077,1,0,0,4.32E-55,0,55,-1,0
813,Zotu3837,1,0,0,3.42E-79,0,285,0,0
814,Zotu2952,2,9,16,1.68E-31,0,11,-0.21821789,0
815,Zotu2206,1,0,0,3.42E-79,0,168,0,0
816,Zotu1171,2,2,2,7.00E-55,0,47,1,0
817,Zotu61,1,0,0,5.67E-39,0,8,-0.795495129,0
818,Zotu318,2,7,18,6.78E-11,0,38,-0.697485832,0
819,Zotu9526,1,0,0,3.42E-79,0,167,0,0
820,Zotu19241,1,0,0,3.42E-79,0,278,0,0
821,Zotu992,2,13,13,9.29E-42,0,4,0.215665546,0
822,Zotu1534,2,5,6,1.32E-30,0,13,-0.40824829,0
823,Zotu16745,3,4,4,4.83E-39,0.333333333,24,1.58113883,0
824,Zotu10558,1,0,0,3.42E-79,0,166,0,0
825,Zotu927,2,14,22,1.52E-24,0,10,-0.359210604,0
826,Zotu4525,1,0,0,3.42E-79,0,258,0,0
827,Zotu20297,1,0,0,9.85E-62,0,101,0,0
828,Zotu29,4,3,3,2.27E-22,0.5,63,1.224744871,0
829,Zotu849,3,8,8,8.96E-36,0.333333333,18,1.322875656,0
830,Zotu14864,1,0,0,3.42E-79,0,163,0,0
831,Zotu9433,2,0,0,3.72E-40,1,80,0,0
832,Zotu754,2,0,0,3.06E-19,1,1,-0.517036491,0
833,Zotu9250,1,0,0,3.42E-79,0,161,0,0
834,Zotu595,2,18,18,2.21E-28,0,7,-0.229415734,0
835,Zotu443,3,41,113,2.10E-18,0.333333333,1,0.402139493,0
836,Zotu1610,1,0,0,3.42E-79,0,284,0,0
837,Zotu1978,1,0,0,1.79E-42,0,23,-0.603022689,0
838,Zotu2252,2,1,1,9.85E-62,0,113,0,0
839,Zotu6283,1,0,0,3.42E-79,0,173,0,0
840,Zotu3935,1,0,0,1.07E-51,0,37,-1.224744871,0
841,Zotu611,3,1,3,9.45E-25,0.666666667,15,0.474341649,0
842,Zotu1378,2,7,18,6.78E-11,0,38,-0.697485832,0
843,Zotu2853,1,0,0,3.42E-79,0,245,0,0
844,Zotu2874,1,0,0,3.42E-79,0,295,0,0
845,Zotu1720,1,0,0,4.32E-55,0,62,-1,0
846,Zotu2158,1,0,0,3.42E-79,0,233,0,0
847,Zotu8189,1,0,0,7.34E-23,0,63,-1.837117307,0
848,Zotu4547,3,56,56,4.29E-41,0,4,1.833157144,0
849,Zotu89,1,0,0,3.42E-79,0,248,0,0
850,Zotu235,2,4,4,5.49E-46,0,29,0.447213595,0
851,Zotu2819,3,0,0,2.09E-22,1,63,0.204124145,0
852,Zotu2317,1,0,0,9.85E-62,0,121,0,0
853,Zotu3370,3,9.5,21,3.71E-11,0,38,-0.058123819,0
854,Zotu2665,3,1,2,3.33E-30,0.666666667,70,0.75,0
855,Zotu2242,1,0,0,3.42E-79,0,179,0,0
856,Zotu4121,1,0,0,1.61E-51,0,72,-0.577350269,0
857,Zotu450,1,0,0,3.42E-79,0,273,0,0
858,Zotu129,1,0,0,3.42E-79,0,238,0,0
859,Zotu373,2,0,0,3.17E-24,1,10,-0.359210604,0
860,Zotu201,2,2.333333333,6,2.14E-29,0,3,-0.134839972,0
861,Zotu421,2,1,2,2.04E-38,0,33,0,0
862,Zotu868,2,6,6,1.93E-49,0,30,0.707106781,0
863,Zotu2240,1,0,0,1.61E-51,0,73,-0.577350269,0
864,Zotu1156,1,0,0,9.85E-62,0,109,0,0
865,Zotu474,1,0,0,9.85E-62,0,141,0,0
866,Zotu799,1,0,0,9.85E-62,0,122,0,0
867,Zotu2773,3,3,6,1.11E-28,0.666666667,16,0.811107106,0
868,Zotu64,2,1,1,9.85E-62,0,142,0,0
869,Zotu1192,2,0,0,3.98E-39,1,28,0,0
870,Zotu269,1,0,0,1.61E-51,0,73,-0.577350269,0
871,Zotu38,2,0,0,5.45E-26,1,49,-0.632455532,0
872,Zotu1717,3,49,49,3.29E-41,0,4,1.833157144,0
873,Zotu1957,1,0,0,3.42E-79,0,158,0,0
874,Zotu431,2,9,16,1.68E-31,0,11,-0.21821789,0
875,Zotu627,1,0,0,4.32E-55,0,58,-1,0
876,Zotu457,4,32,32,4.19E-38,0,8,2.121320344,0
877,Zotu751,2,0,0,3.72E-40,1,84,0,0
878,Zotu2110,2,2,2,7.00E-55,0,59,1,0
879,Zotu19274,1,0,0,4.02E-46,0,25,-0.894427191,0
880,Zotu5251,2,1,1,9.85E-62,0,106,0,0
881,Zotu68,2,2,2,7.00E-55,0,45,1,0
882,Zotu371,1,0,0,9.85E-62,0,107,0,0
883,Zotu310,3,8,8,8.96E-36,0.333333333,18,1.322875656,0
884,Zotu422,1,0,0,3.42E-79,0,237,0,0
885,Zotu1377,1,0,0,3.42E-79,0,197,0,0
886,Zotu193,1,0,0,3.42E-79,0,157,0,0
887,Zotu1565,3,21.83333333,44,4.54E-32,0,9,1.143001143,0
888,Zotu728,1,0,0,4.32E-55,0,61,-1,0
889,Zotu4740,2,1,1,9.85E-62,0,120,0,0
890,Zotu3144,1,0,0,3.42E-79,0,198,0,0
891,Zotu1199,1,0,0,1.24E-39,0,24,-1.58113883,0
892,Zotu2026,1,0,0,3.42E-79,0,226,0,0
893,Zotu1941,1,0,0,3.42E-79,0,171,0,0
894,Zotu1637,2,1,1,9.85E-62,0,105,0,0
895,Zotu3621,1,0,0,9.85E-62,0,100,0,0
896,Zotu845,2,2,2,7.00E-55,0,62,1,0
897,Zotu2490,1,0,0,3.42E-79,0,316,0,0
898,Zotu5003,2,0,0,2.84E-44,1,87,0,0
899,Zotu3465,2,1,1,9.85E-62,0,108,0,0
900,Zotu2549,1,0,0,4.32E-55,0,60,-1,0
901,Zotu2573,3,0,0,2.09E-22,1,63,0.204124145,0
902,Zotu1075,3,1,2,2.52E-26,0.333333333,50,0.5,0
903,Zotu2022,1,0,0,4.32E-55,0,55,-1,0
904,Zotu1447,1,0,0,3.42E-79,0,156,0,0
905,Zotu304,1,0,0,3.42E-79,0,155,0,0
906,Zotu448,1,0,0,3.42E-79,0,183,0,0
907,Zotu930,1,0,0,3.42E-79,0,154,0,0
908,Zotu766,3,3,6,9.37E-26,0.666666667,49,0.474341649,0
909,Zotu4265,1,0,0,3.42E-79,0,166,0,0
910,Zotu4191,5,9.166666667,35,0.396459302,0.7,0,1.131504764,0
911,Zotu3142,1,0,0,3.42E-79,0,199,0,0
912,Zotu872,1,0,0,9.85E-62,0,132,0,0
913,Zotu631,1,0,0,3.42E-79,0,192,0,0
914,Zotu918,1,0,0,3.42E-79,0,171,0,0
915,Zotu253,3,8,9,9.54E-28,0.333333333,7,0.917662935,0
916,Zotu1095,2,14,14,9.36E-29,0,7,-0.229415734,0
917,Zotu150,1,0,0,0.041042648,0,0,-1.30558242,0
918,Zotu795,5,119,182,7.31E-29,0.1,2,2.562796232,0
919,Zotu1020,2,49,49,3.46E-41,0,4,0.215665546,0
920,Zotu1907,2,4,4,1.55E-49,0,32,0.707106781,0
921,Zotu4712,1,0,0,1.21E-37,0,14,-1.322875656,0
922,Zotu18709,1,0,0,3.42E-79,0,153,0,0
923,Zotu1729,3,0,0,7.59E-24,1,52,0,0
924,Zotu1445,1,0,0,4.32E-55,0,62,-1,0
925,Zotu4299,3,11,11,2.78E-37,0,14,1.322875656,0
926,Zotu3639,2,2,2,7.00E-55,0,59,1,0
927,Zotu1903,2,3,3,1.61E-51,0,37,0.816496581,0
