ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
537,Zotu166,5,25,51,4.48E-10,0.1,14,1.083887462,0
538,Zotu894,2,0,0,3.35E-76,1,59,-1,0
539,Zotu2503,1,0,0,4.38E-208,0,258,0,0
540,Zotu109,1,0,0,1.28E-159,0,110,0,0
541,Zotu2112,1,0,0,4.38E-208,0,257,0,0
542,Zotu1798,1,0,0,1.28E-159,0,121,0,0
543,Zotu245,1,0,0,1.86E-18,0,7,-1.15872326,0
544,Zotu1257,1,0,0,4.38E-208,0,255,0,0
545,Zotu2742,2,0,0,1.49E-96,1,23,0,0
546,Zotu787,2,24,24,6.57E-88,0,8,0.15249857,0
547,Zotu228,3,3,4,7.74E-72,0.333333333,56,0.75,0
548,Zotu994,5,2.5,5,2.71E-27,0.5,48,1.33630621,0
549,Zotu616,2,1,1,2.56E-159,0,111,0,0
550,Zotu4597,2,12,12,7.39E-100,0,10,0.242535625,0
551,Zotu9038,1,0,0,1.28E-159,0,90,0,0
