ID	hps_f_cd_1	hps_f_cd_2	hps_f_cd_3	hps_f_cd_4	hps_f_cd_5	hps_f_cd_6	hps_f_cd_7	hps_f_cd_8
Zotu7133								
Zotu18728								
Zotu3499								
Zotu19640								
Zotu8947								
Zotu6119	1				1		5	
Zotu18638	1	2						
Zotu17775			1		1	1	1	
Zotu18001		1				1	1	2
Zotu2610							1	
Zotu1186					1	1	2	
Zotu334	1	1				1	4	
Zotu268	2	2	1					1
Zotu1496							1	2
Zotu128	108	3	1	66	1	18	6	8
Zotu821	2		1	1	1	3	1	1
Zotu338	2		2	1		1	4	
Zotu224		1	1	1	1		1	106
Zotu1012		1						
Zotu11312					1			
Zotu2895								
Zotu244	1	26	1	1	29		2	
Zotu1298								
Zotu467		1					9	1
Zotu951							8	
Zotu1346				77				
Zotu16921		1						
Zotu19099								
Zotu12594								
Zotu645							2	1
Zotu7755								
Zotu2598								
Zotu4514								
Zotu10262								
Zotu12964								
Zotu17521							1	
Zotu14013								
Zotu13778								
Zotu20151			1				5	
Zotu13	230	40	25	78	40	84	82	87
Zotu972		4	1	1	2		3	
Zotu108	4	3	3		2	6	7	3
Zotu60	5	6	3		23	11	24	66
Zotu866		1	2				5	
Zotu130	1	1	3	2	15	9	6	1
Zotu551			1			3	2	
Zotu1007	1	1	1			2	2	1
Zotu174	1	36	2		1	2	8	2
Zotu326			1			4	5	1
Zotu231	4		2					3
Zotu261	2		2		3	3	2	1
Zotu850	2	42	1			2	1	1
Zotu361	3	1			1	2	7	
Zotu15512								
Zotu2396							1	
Zotu1718		1						
Zotu3640								
Zotu962	1		1			1	12	1
Zotu1395					1	1		1
Zotu11972						1		
Zotu871								
Zotu3753							1	
Zotu84	3		1		9	6	13	3
Zotu1054		1					3	
Zotu4929		1						
Zotu3468					2	1	4	
Zotu91	3	1	4	2	2	3	8	3
Zotu4411							1	
Zotu6593								1
Zotu107		1	3	1	2		14	2
Zotu2390							10	
Zotu2973								
Zotu7661		2	1					
Zotu17889							2	
Zotu55	2	3	160		1	8	22	6
Zotu4060			1					
Zotu4293								
Zotu1100	1	2						
Zotu10771								
Zotu9961								
Zotu2085								
Zotu8601								
Zotu8071	1							
Zotu2345								
Zotu1065								
Zotu2662								
Zotu6110	1		67		1			
Zotu202	314	63	464	155	40	42	19	73
Zotu5095								
Zotu11573								
Zotu4334								
Zotu16413								
Zotu14602		1						
Zotu7138								
Zotu13005								
Zotu8558								
Zotu14164								
Zotu16057								
Zotu16677								
Zotu8576								
Zotu18297								
Zotu15639								
Zotu6566					1			
Zotu8894								
Zotu16944						1		
Zotu3942								
Zotu20631								
Zotu1105						1	2	
Zotu11103								
Zotu15211								
Zotu18977								
Zotu19173								
Zotu10826								
Zotu11548								
Zotu14037								
Zotu20019								
Zotu14208								
Zotu14913								
Zotu19553								
Zotu7973								
Zotu16257								
Zotu14074								
Zotu10881								
Zotu16449								
Zotu11269								
Zotu18897								
Zotu17199								
Zotu18667								
Zotu19588								
Zotu7723						24		
Zotu13080								
Zotu13775								
Zotu11161								
Zotu3972								
Zotu20503								
Zotu3884								
Zotu20576								
Zotu15608								
Zotu16072								
Zotu18580								
Zotu11595								
Zotu19223								
Zotu12553								
Zotu12008								
Zotu14504								
Zotu11664								
Zotu15353								
Zotu20807								
Zotu16298								
Zotu13023								
Zotu17004								
Zotu14579								
Zotu20620								
Zotu6785								
Zotu11951								
Zotu3386								
Zotu12165								
Zotu1343							1	
Zotu181	1	1	1		2	14	1	
Zotu574	1			168	3		2	1
Zotu3126							1	
Zotu4900								
Zotu2574								
Zotu4113								
Zotu14001								
Zotu6724								
Zotu1682							1	
Zotu6236								
Zotu3821								
Zotu7877								
Zotu9146								
Zotu2485								
Zotu18077								
Zotu7722								
Zotu12760								
Zotu10875								
Zotu6294								1
Zotu7669								
Zotu7648								
Zotu4823								
Zotu1439		64						1
Zotu2872			1	1			1	
Zotu4190								
Zotu16161								
Zotu1055						2		
Zotu7115					1			
Zotu3784								
Zotu6351								
Zotu5291								
Zotu31	2	3	1118	58	2079	4768	2	10
Zotu3097								
Zotu12214								
Zotu9380								
Zotu13867								
Zotu11500								
Zotu13208								
Zotu7918						16		
Zotu9617								
Zotu18458								
Zotu615							24	1
Zotu17766								
Zotu13305								
Zotu12006								
Zotu19514								
Zotu18985								1
Zotu15571								
Zotu18411								
Zotu2346	1		117					
Zotu8253								
Zotu9756								
Zotu13987								
Zotu14905								
Zotu11600								
Zotu17860								
Zotu15656								1
Zotu9292								
Zotu969								
Zotu3834								
Zotu2789								
Zotu4085								
Zotu5361								
Zotu6882								
Zotu16752								
Zotu16196								
Zotu15287								
Zotu15375								
Zotu16042								
Zotu14901								
Zotu9040								
Zotu10138								
Zotu19643								
Zotu20801								
Zotu14691								
Zotu17038								
Zotu14196								
Zotu5109								
Zotu15091								
Zotu9082								
Zotu10528								
Zotu10706								
Zotu2791								
Zotu9418					1			
Zotu1747								2
Zotu2722							1	
Zotu2937								
Zotu12347								
Zotu5558								
Zotu7620								
Zotu11981								
Zotu11504								
Zotu5921								
Zotu16290								
Zotu16980		1						
