ID	bs_f_1	bs_f_2	bs_f_3	bs_f_4	bs_f_5	bs_f_6	bs_f_7	bs_f_8
Zotu2281	2	3		2		5	1	6
Zotu7239					4	1	2	
Zotu4263				1	1	3	3	4
Zotu7235		2		1	2	1	1	1
Zotu15967								
Zotu13217								
Zotu12741							1	
Zotu4500	1	5		1	3	2	3	5
Zotu8736								
Zotu3930	2	1	4	4	3	1	1	1
Zotu9368	2	1	1	3		2		
Zotu7376	3	2			3	1		
Zotu2787	1	3	1	1	2		4	3
Zotu18567								
Zotu7186	1		1		1		2	1
Zotu18336			2					
Zotu8370					1		1	1
Zotu12448					1	1		
Zotu17050								2
Zotu13482				2				
Zotu18313					1			
Zotu12621			3				1	3
Zotu4772	1	1	1	1		2	1	
Zotu13569								1
Zotu13576								
Zotu19888								
Zotu10166		3			1		2	
Zotu15916								
Zotu2024	5	8	6	5	7	6	10	6
Zotu5580	3	1	2		1	1	4	
Zotu10566						1	6	
Zotu11303		2			1		1	1
Zotu12951					2	2		
Zotu7920		1						1
Zotu5621		3				3	2	2
Zotu16352							1	
Zotu13486							2	
Zotu18954								
Zotu7757	2	2		4				1
Zotu11205	2			3	1			
Zotu10466		1				1	1	
Zotu14137			1	1			1	
Zotu17618								
Zotu4909		5	2	1	2	2	2	3
Zotu2512	1	2	1		1		4	
Zotu7788				3				
Zotu9712			1					2
Zotu9342								
Zotu10526	1		1	1				
Zotu5448					1			1
Zotu12326								
Zotu8717			1	1	2			
Zotu4639						2	2	
Zotu5642							2	2
Zotu14306		1	2		2		1	2
Zotu14557								3
Zotu10175	1		1					
Zotu20618	1		1					
Zotu8553								
Zotu7017		1			1	1		
Zotu17978								
Zotu8020								
Zotu3009					2			
Zotu19790								
Zotu12655						2		1
Zotu10978								
Zotu9691								
Zotu19148								
Zotu4750	1				1			
Zotu18585						2		
Zotu15951								
Zotu16422								
Zotu2517							1	
Zotu18523								
Zotu1552								
Zotu180								2
Zotu7189								
Zotu6172								
Zotu11926								
Zotu15990								
Zotu12564								
Zotu20140		1		2		1		
Zotu8417								
Zotu14768			1					
Zotu11529								
Zotu17015		1	1					
Zotu18318	1	1						
Zotu13340								
Zotu20417			1	3				1
Zotu9970								
Zotu15748								
Zotu6149		1				2	3	1
Zotu15438	1	2	1					1
Zotu17956								
Zotu20790							1	1
Zotu7626					1		3	1
Zotu17845		1						
Zotu18290								
Zotu9121		2						2
Zotu17219		1						
Zotu17069								
Zotu7130							1	
Zotu20833								
Zotu3496								
Zotu9385			2					
Zotu19126								
Zotu6270					2		1	
Zotu16680								
Zotu4601				1				
Zotu358	1			1				
Zotu5864								
Zotu5771								
Zotu11633	5	1	3		2			1
Zotu105	2	1			1		1	
Zotu5517	1				3	1		
Zotu2710						1		
Zotu6738	12	1	1		4	1		
Zotu17274		1		1	2		1	1
Zotu17758	1				1	1		
Zotu20596								
Zotu3727	10	1	1		3	3		3
Zotu13299	2					1		1
Zotu16314								
Zotu19628								
Zotu20365								
Zotu1371	1		2		1			
Zotu1523		1				1		
Zotu835	1			6	4			1
Zotu2736								
Zotu4165			1					
Zotu2052								
Zotu15836		1						
Zotu1073								
Zotu3970								
Zotu4518								
Zotu3039								
Zotu204								
Zotu328								
Zotu4371								
Zotu6098								
Zotu35	4		19		1			2
Zotu337								
Zotu7429								
Zotu13596								
Zotu20441								
Zotu444	1	1		1				
Zotu880	1				1			
Zotu315	4	2	2				2	1
Zotu5443								
Zotu8703								
Zotu20470								
Zotu982	1	1	3	2			4	3
Zotu1233	11	13	14	13	11	14	10	12
Zotu9405	1							
Zotu425	14	27	18	37	18	19	22	29
Zotu4874		1	1	1		3		1
Zotu15459				4				
Zotu18548								
Zotu10137		1			1			
Zotu11520					4		2	
Zotu17326								
Zotu5688		3	1	2	3	1	1	1
Zotu17127								
Zotu9958				1	1			
Zotu18705						1		
Zotu12818								
Zotu4875		1						1
Zotu11762					1			
Zotu13239		2		1	2		1	
Zotu3508		2						
Zotu7316		1				2		
Zotu13139						1		
Zotu2013	5	3	8	3	4	16	8	6
Zotu8412	1		1	1			1	
Zotu13426						1		
Zotu5118								
Zotu17863								
Zotu9929								
Zotu1484	2	1		1				
Zotu14424				1				
Zotu747		1	2	1	3	1		4
Zotu1722	2	1			1	1	3	2
Zotu5204								
Zotu15779								
Zotu5360								
Zotu947	2	4	2	1	2	1	4	5
Zotu3816	7	9			3		24	1
Zotu3615	4				4		1	
Zotu4625					1			
Zotu3183								
Zotu20260								
Zotu18419								
