ID	hps_ck_1	hps_ck_2	hps_ck_3	hps_ck_4	hps_ck_5	hps_ck_6	hps_ck_7	hps_ck_8
Zotu5354		1		2	2	1		1
Zotu10197			4	2		1		
Zotu1555	4	1	3	4	4	1	2	4
Zotu7356	1	1		3	1		1	
Zotu17308					1	1		
Zotu14242	1			2	1			
Zotu9495			2	1	1			2
Zotu6408	2			1	2			
Zotu2878	2	3	1	1	9	3	1	2
Zotu6687		1		1	7			
Zotu5255		1	2				1	2
Zotu14003								
Zotu13984	1			1	1		2	
Zotu17024	2	1						
Zotu6834	1			3		1		
Zotu16902							2	
Zotu19045							3	
Zotu13980						1	1	
Zotu2380	3	2	2		3	3	1	2
Zotu6490			1					
Zotu15816								
Zotu10556								1
Zotu3733					2		1	1
Zotu7191	1	1		1			1	
Zotu7715	1							
Zotu20466								
Zotu14553	1							
Zotu18399								
Zotu18910								
Zotu18510		1						
Zotu4039	1	1	2		2	4	4	1
Zotu10761	3		3					
Zotu16211	4		1				1	
Zotu10434			2			2	3	3
Zotu9318	1	1		1				1
Zotu10549	1			3	1			
Zotu6667	1			2		1		
Zotu10219		2						
Zotu11391					2			
Zotu6703	1	2	3	1		3		1
Zotu3193				1	2			
Zotu9390	1	1		2				
Zotu11797							1	
Zotu1400	10	8	12	8	14	4	5	11
Zotu13456		1	1	3				
Zotu1340	3	2	3	6	2		2	
Zotu5793	2	1		1	1	1		1
Zotu14282						1		
Zotu7233		1			1			
Zotu9697								
Zotu13251								1
Zotu7473				1				1
Zotu14049								
Zotu19484							2	
Zotu886	4	13	3	3	2		15	1
Zotu602	3				6	2	4	3
Zotu477	9	1	1	1	4	3	5	3
Zotu19793								
Zotu18673	1			2				
Zotu19261								
Zotu6815	1							
Zotu18915								
Zotu6483						2	1	
Zotu7463								
Zotu7041				1				
Zotu4926								
Zotu19467								
Zotu11779								
Zotu16269	1							
Zotu19331								
Zotu15482								
Zotu20018					1			
Zotu17942								
Zotu4198	2	2	5	4	3	5	1	3
Zotu8387				1		1		1
Zotu2597	1	5	3	2	1	1	5	2
Zotu17194								
Zotu14835								
Zotu20732			1					
Zotu19529								
Zotu6353								
Zotu9384								
Zotu17358								
Zotu2202			1		1			1
Zotu18975								
Zotu15606								
Zotu18299								
Zotu14428	1	1	1	1		1		
Zotu7187								
Zotu20791								
Zotu5379			2		1			
