ID	hp_f_1	hp_f_2	hp_f_3	hp_f_4	hp_f_5	hp_f_6	hp_f_7	hp_f_8
Zotu2653	1	3		1		1	1	1
Zotu3778					1	3	1	
Zotu3348			2				3	
Zotu2535	3	3	4	1		1	5	
Zotu3811			1	1	1	2		
Zotu15688								
Zotu14444								
Zotu2566		3	1	1	5	1	1	
Zotu1132	4	10		1	4	2	4	
Zotu7979	3	3	4		4	5	3	
Zotu3646	3	1		1	3	2	4	
Zotu16135	2				1		4	
Zotu7542								
Zotu19093								
Zotu17313								
Zotu5446								
Zotu13313								
Zotu15919								
Zotu8048								
Zotu12983								
Zotu6260								
Zotu13586								
Zotu19435								
Zotu15205								
Zotu5786		1						
Zotu5159								
Zotu7243								
Zotu9283								
Zotu6069		6	1					
Zotu13466								
Zotu16465			2		2			
Zotu11158		3		3				
Zotu568				1				
Zotu9054								
Zotu15611								
