ID	rs_f_1	rs_f_2	rs_f_3	rs_f_4	rs_f_5	rs_f_6	rs_f_7	rs_f_8
Zotu12437								
Zotu14585								
Zotu20266								
Zotu16711								
Zotu6727				4		1		
Zotu18473						3		
Zotu18256								
Zotu18712		1						
Zotu17656								
Zotu18844						1		
Zotu20369								
Zotu12074								
Zotu18670								
Zotu20004		1						
Zotu15082						1	2	
Zotu4048		2	2	2		3	3	
Zotu13854		4	3			1		
Zotu13676		1		1		1	1	
Zotu20107		2				2		
Zotu10297								
Zotu2697		1						
Zotu17928						1		
Zotu13228								
Zotu13491								
Zotu17802								
Zotu6886			1	1				
Zotu16005								
Zotu1727		1						
Zotu10640								
Zotu7229								
Zotu1750								
Zotu2907								
Zotu3396								
Zotu18170								
Zotu17920	1		1		1			
Zotu11300					1		1	
Zotu12400								
Zotu17039								
Zotu20588			1					
Zotu17170								
Zotu12805		2			1			
Zotu12137	1	2		1				
Zotu15343								
Zotu16238	4				1			
Zotu17982								
Zotu993	1		2	6	1	2		4
Zotu9173	1	2	2					
Zotu20134								
Zotu16018						1		
Zotu5583	1		1					
Zotu8841				1	1			
Zotu17732								1
Zotu3011	4		3			1	1	1
Zotu5765	2				1			1
Zotu6240							1	1
Zotu7961				1				
Zotu11511						1		
Zotu19491								
Zotu8463								
Zotu7658				2	1	1		1
Zotu12921						1		1
Zotu13277						1		
Zotu14952				1				2
Zotu15982					1		1	
Zotu9990					1			
Zotu13620								
Zotu11813							1	1
Zotu19700								
Zotu7385		1		2				
Zotu3085	2	1	1		2	1		
Zotu14032								
Zotu13198								
Zotu17583								
Zotu13975			1				1	
Zotu12317		1						
Zotu7882				1				
Zotu3657					1		1	
Zotu9423								
Zotu9734	1							
Zotu16172								
Zotu481	6	8	2	2	4	8	2	1
Zotu1375					1	1	1	
Zotu9414				1		1		
Zotu7416					1			
Zotu1322			3		1	1		2
Zotu1144	4	3	1	1	3	5	4	6
Zotu869	3	7	4		3	5	6	4
Zotu5561		1			2	2		
Zotu1614								
Zotu11137			1		1			
Zotu2792		1	1	3	1	2	2	1
Zotu3593	1			1				
Zotu6691				1		1	3	
Zotu59	81	72	62	68	50	64	60	102
Zotu7465								
Zotu1846	2	4	3	1		4		1
Zotu1939								
Zotu4102	2	3				1		
Zotu7965								
Zotu3417	1		2	2	1		2	2
Zotu10803			1					
Zotu6000		1						
Zotu7098	2	1		1		2		
Zotu5193								
Zotu1153	3	2	5	2	1	1	2	
Zotu15740								
Zotu14576					1			
Zotu10479								
Zotu19206								
Zotu2281		3	2	2			1	2
Zotu7239			1					
Zotu4263					1			
Zotu7235					1			
Zotu15967					1			
Zotu13217		1						
Zotu12741								
Zotu4500								
Zotu8736						1		2
Zotu3930			2			3	5	1
Zotu9368								
Zotu7376								
Zotu2787				1				
Zotu18567								
Zotu7186								
Zotu18336								
Zotu8370								
Zotu12448								
Zotu17050								
Zotu13482								
Zotu18313								
Zotu12621								
Zotu4772								
Zotu13569								
Zotu13576								
Zotu19888								
Zotu10166								
Zotu15916								
Zotu2024					4		2	1
Zotu5580			1				1	
Zotu10566			2					
Zotu11303					1			
Zotu12951				1				
Zotu7920					1			
Zotu5621								
Zotu16352								
Zotu13486								
Zotu18954								
Zotu7757								
Zotu11205			1					
Zotu10466								
Zotu14137								
Zotu17618			1					
Zotu4909								
Zotu2512		2		1		2		4
Zotu7788							1	1
Zotu9712								
Zotu9342			1			5		
Zotu10526			1					1
Zotu5448	2				1	1	2	
Zotu12326				1		1		
Zotu8717				1				
Zotu4639								
Zotu5642			1					
Zotu14306							1	
Zotu14557								
Zotu10175						1		
Zotu20618								
Zotu8553								
Zotu7017			1	2		1		
Zotu17978								
Zotu8020								
Zotu3009								
Zotu19790								
Zotu12655					1			
Zotu10978								
Zotu9691								
Zotu19148				2				
Zotu4750	5	1	1	1	2			2
Zotu18585								
Zotu15951								
Zotu16422								
Zotu2517								
Zotu18523								
Zotu1552								
Zotu180	2			4				1
Zotu7189								
Zotu6172								
Zotu11926			2					
Zotu15990								
Zotu12564								
Zotu20140								
Zotu8417							2	
Zotu14768								
Zotu11529	7							1
Zotu17015								
Zotu18318			1		1		1	
Zotu13340								
Zotu20417			1					
Zotu9970		1						
Zotu15748								
